2018-08-08 02:03:34 status unpacked base-files:amd64 9.4ubuntu4
2018-08-08 02:03:34 upgrade base-passwd:amd64 3.5.39 3.5.39
2018-08-08 02:03:34 status half-configured base-passwd:amd64 3.5.39
2018-08-08 02:03:34 status unpacked base-passwd:amd64 3.5.39
2018-08-08 02:03:34 status half-installed base-passwd:amd64 3.5.39
2018-08-08 02:03:34 status half-installed base-passwd:amd64 3.5.39
2018-08-08 02:03:34 status unpacked base-passwd:amd64 3.5.39
2018-08-08 02:03:34 status unpacked base-passwd:amd64 3.5.39
2018-08-08 02:03:34 install bash:amd64 <none> 4.3-14ubuntu1
2018-08-08 02:03:34 status half-installed bash:amd64 4.3-14ubuntu1
2018-08-08 02:03:35 status unpacked bash:amd64 4.3-14ubuntu1
2018-08-08 02:03:35 status unpacked bash:amd64 4.3-14ubuntu1
2018-08-08 02:03:35 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2018-08-08 02:03:35 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2018-08-08 02:03:35 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-08-08 02:03:35 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-08-08 02:03:35 install coreutils:amd64 <none> 8.25-2ubuntu2
2018-08-08 02:03:35 status half-installed coreutils:amd64 8.25-2ubuntu2
2018-08-08 02:03:35 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-08-08 02:03:35 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-08-08 02:03:35 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2018-08-08 02:03:35 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2018-08-08 02:03:35 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-08-08 02:03:35 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-08-08 02:03:35 install debconf:all <none> 1.5.58ubuntu1
2018-08-08 02:03:35 status half-installed debconf:all 1.5.58ubuntu1
2018-08-08 02:03:35 status unpacked debconf:all 1.5.58ubuntu1
2018-08-08 02:03:35 status unpacked debconf:all 1.5.58ubuntu1
2018-08-08 02:03:35 install debianutils:amd64 <none> 4.7
2018-08-08 02:03:35 status half-installed debianutils:amd64 4.7
2018-08-08 02:03:35 status unpacked debianutils:amd64 4.7
2018-08-08 02:03:35 status unpacked debianutils:amd64 4.7
2018-08-08 02:03:35 install diffutils:amd64 <none> 1:3.3-3
2018-08-08 02:03:35 status half-installed diffutils:amd64 1:3.3-3
2018-08-08 02:03:35 status unpacked diffutils:amd64 1:3.3-3
2018-08-08 02:03:35 status unpacked diffutils:amd64 1:3.3-3
2018-08-08 02:03:35 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2018-08-08 02:03:35 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:35 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:35 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:36 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:36 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:36 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:36 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2018-08-08 02:03:36 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:36 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:36 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:36 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2018-08-08 02:03:36 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
